Store,week,year,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Weekly_Sales
1,27,2011,85.83,3.48,NA,NA,NA,NA,NA,215.2771754,7.962,16148.87
1,28,2011,88.54,3.575,NA,NA,NA,NA,NA,215.3611087,7.962,15654.85
1,29,2011,85.77,3.651,NA,NA,NA,NA,NA,215.4222784,7.962,15766.6
1,30,2011,86.83,3.682,NA,NA,NA,NA,NA,215.4834482,7.962,15922.41
1,31,2011,91.65,3.684,NA,NA,NA,NA,NA,215.544618,7.962,15295.55
1,32,2011,90.76,3.638,NA,NA,NA,NA,NA,215.6057878,7.962,14539.79
1,33,2011,89.94,3.554,NA,NA,NA,NA,NA,215.6693107,7.962,14689.24
1,34,2011,87.96,3.523,NA,NA,NA,NA,NA,215.7332258,7.962,14537.37
1,35,2011,87.83,3.533,NA,NA,NA,NA,NA,215.7971409,7.962,15277.27
1,36,2011,76,3.546,NA,NA,NA,NA,NA,215.861056,7.962,17746.68
1,37,2011,79.94,3.526,NA,NA,NA,NA,NA,216.0410526,7.962,18535.48
1,38,2011,75.8,3.467,NA,NA,NA,NA,NA,216.3758246,7.962,17859.3
1,39,2011,79.69,3.355,NA,NA,NA,NA,NA,216.7105965,7.962,18337.68
1,40,2011,69.31,3.285,NA,NA,NA,NA,NA,217.0453684,7.866,20797.58
1,41,2011,71.74,3.274,NA,NA,NA,NA,NA,217.3552733,7.866,23077.55
1,42,2011,63.71,3.353,NA,NA,NA,NA,NA,217.5159762,7.866,23351.8
1,43,2011,66.57,3.372,NA,NA,NA,NA,NA,217.6766791,7.866,31579.9
1,44,2011,54.98,3.332,NA,NA,NA,NA,NA,217.837382,7.866,39886.06
1,45,2011,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,18689.54
1,46,2011,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,19050.66
1,47,2011,60.14,3.236,410.31,98,55805.51,8,554.92,218.4676211,7.866,20911.25
1,48,2011,48.91,3.172,5629.51,68,1398.11,2084.64,20475.32,218.7147333,7.866,25293.49
1,49,2011,43.93,3.158,4640.65,19,105.02,3639.42,14461.82,218.9618456,7.866,33305.92
1,50,2011,51.63,3.159,5011.32,67,347.37,225.79,4011.37,219.1794533,7.866,45773.03
1,51,2011,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,46788.75
1,52,2011,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,23350.88
1,1,2011,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,16567.69
1,2,2011,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,16894.4
1,3,2011,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,18365.1
1,4,2011,54.26,3.29,1164.46,1082.74,44,11,1222.19,220.0788523,7.348,18378.16
1,5,2011,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,23510.49
1,6,2011,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,36988.49
1,7,2011,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,54060.1
1,8,2011,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,20124.22
1,9,2011,60.96,3.63,15441.4,1569,10.8,25390.88,8067.61,220.8480454,7.348,20113.03
1,10,2011,58.76,3.669,10331.04,151.88,6,671.43,5509.84,221.0591887,7.348,21140.07
1,11,2011,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,22366.88
1,12,2011,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,22107.7
1,13,2011,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,28952.86
1,14,2011,70.43,3.891,10121.97,NA,77.98,3750.59,4510.72,221.4356112,7.143,57592.12
1,15,2011,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,34684.21
1,16,2011,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,16976.19
1,17,2011,67.23,3.814,3221.25,NA,35.49,577.14,6222.25,221.6179368,7.143,16347.6
1,18,2011,75.55,3.749,21290.13,NA,69.89,4977.35,3261.04,221.6718,7.143,17147.44
1,19,2011,73.77,3.688,8351.4,NA,10.52,2443.14,3127.88,221.7256632,7.143,18164.2
1,20,2011,70.33,3.63,6154.14,NA,45.11,1675.49,5508.18,221.742674,7.143,18517.79
1,21,2011,77.22,3.561,4039.39,NA,745.19,1429.96,3631.13,221.744944,7.143,16963.55
1,22,2011,77.95,3.501,6086.21,12,370.51,148.75,3690.85,221.7472139,7.143,16065.49
1,23,2011,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,17666
1,24,2011,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,17558.82
1,25,2011,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,16633.41
1,26,2011,84.88,3.286,3965.73,161.6,NA,435.99,4212.97,221.8434,7.143,15722.82
1,27,2011,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,17823.37
1,28,2011,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,16566.18
1,29,2011,80.42,3.311,3213,313.72,9.53,2262.02,3228.19,221.9327267,6.908,16348.06
1,30,2011,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,15731.18
1,31,2011,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,16628.31
1,32,2011,85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,16119.92
1,33,2011,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,17330.7
1,34,2011,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,16286.4
1,35,2011,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,16680.24
1,36,2011,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,18322.37
1,37,2011,74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,19616.22
1,38,2011,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,19251.5
1,39,2011,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,18947.81
1,40,2011,68.55,3.617,8077.89,NA,18.22,3617.43,3626.14,223.1814772,6.573,21904.47
1,41,2011,62.99,3.601,2086.18,NA,8.11,602.36,5926.45,223.3812965,6.573,22764.01
1,42,2011,67.97,3.594,950.33,NA,4.93,80.25,2312.85,223.4257233,6.573,24185.27
